x,y,z
-0.1776,-0.8982,3.6932
1.8229,0.0763,-0.3235
2.1384,1.0424,-2.7056
-1.8068,1.1006,-1.5980
0.6056,1.4345,-0.3185
-2.9628,1.4486,-8.8178
-2.5623,0.7950,-4.0680
-2.8629,-1.2601,-3.1954
2.0954,1.9027,-8.2783
2.7597,-0.5683,-4.4325
1.0736,0.1244,1.8455
-0.4189,1.2576,0.8353
-0.0436,1.1818,1.3477
1.9639,-1.8532,5.5079
-1.7916,1.7636,-5.6954
1.6835,-1.6695,4.8189
0.7144,-0.9840,3.4423
-2.8851,-1.3061,-3.0956
-0.5942,-0.4981,2.7704
0.2975,1.4737,-0.2893
2.7670,1.0788,-5.9116
2.5996,-0.7748,-3.2928
2.1002,-0.8070,-0.8854
0.9908,1.1374,0.5469
0.8455,1.9954,-5.6596
-1.2790,1.5517,-2.3720
-2.4485,-0.7962,-2.4907
-1.7878,-1.9096,6.7669
-1.3004,0.4148,1.2377
2.1089,0.5765,-1.6392
-2.9977,1.9522,-13.4263
-0.3065,-0.0485,2.9062
-1.3701,0.6557,0.8411
-2.5408,-0.0369,-3.4554
2.3472,-1.3872,0.1598
-2.8502,-1.6219,-0.8577
1.2800,0.9131,0.6002
-1.5406,-1.7439,5.9301
-2.8445,-1.4012,-2.3402
0.9238,-1.8528,8.5065
0.5697,-0.9359,3.4952
-2.4898,-0.5802,-3.0040
1.0065,0.4281,1.9085
0.5556,1.9725,-4.9835
-2.8966,1.8884,-12.1243
0.4573,-1.8961,9.6078
2.3103,0.5957,-2.5489
-0.2703,1.3718,0.3454
1.8375,0.8911,-1.0842
2.0184,1.1370,-2.5439
1.6401,-1.5332,3.9143
-1.8411,0.9166,-1.1598
1.2356,-1.3124,3.7336
2.9326,1.5515,-9.3347
-1.5172,0.5612,0.5215
1.8625,-1.0527,0.6976
2.0504,-1.6793,3.5314
-1.4120,1.5639,-2.8187
-0.1065,1.7286,-2.1768
0.7320,1.0999,1.1335
1.0897,1.1509,0.2880
-2.1480,0.8763,-2.2869
1.2043,1.5188,-1.9540
-1.8062,-1.2473,1.6779
2.4188,-1.6727,1.8292
0.4383,0.9348,1.9911
2.1772,1.0525,-2.9062
2.2151,0.3221,-1.9400
-0.7166,1.6465,-1.9769
-1.6400,1.0936,-0.9974
1.1766,-1.2866,3.7457
-2.5255,-0.0924,-3.3772
1.8627,1.3796,-3.0958
-0.0856,0.1064,2.9915
-1.5767,-1.7832,6.1838
2.7733,0.1546,-4.6949
-2.2153,1.9323,-9.1222
-1.7241,1.8227,-6.0277
2.6802,-0.0089,-4.1833
-2.3901,-1.6249,1.5772
-0.9156,1.5971,-1.9117
-1.5053,-1.4807,3.9808
-2.0569,-0.0386,-1.2309
0.7040,1.9383,-4.7778
2.1779,-1.6851,3.0417
-2.6281,1.5762,-7.8226
-2.4495,-1.6630,1.5989
0.9425,0.9774,1.1780
0.0243,1.4154,0.1637
1.8123,-1.5690,3.5782
-0.3758,1.0356,1.7481
0.7271,-1.9789,10.2202
2.8036,0.9754,-5.7879
1.0400,0.4630,1.8192
1.0201,1.3861,-0.7036
0.8435,-1.1471,3.7979
-2.6991,-0.4659,-4.1841
2.9086,-0.3051,-5.4317
-2.1993,-0.6326,-1.5836
-2.7646,1.6367,-9.0274
-1.1992,-1.8716,8.1183
1.4400,0.0482,0.9263
-2.7696,-1.5290,-1.0964
-0.5010,-0.8976,3.4720
0.5958,1.6445,-1.8021
-0.7415,0.1997,2.4422
-0.0515,-1.2038,4.7420
0.2989,-1.3703,5.4834
-1.1376,-0.7747,2.1709
0.8648,-0.0237,2.2522
-0.8100,0.8995,1.6161
-0.7003,-1.4614,5.6306
0.6227,-1.3463,5.0525
-0.1921,1.6122,-1.2270
1.7279,-1.8341,6.1838
1.9243,1.7415,-5.9841
2.9394,1.5530,-9.3853
2.6548,1.4342,-6.9977
-0.1640,1.7191,-2.1073
-0.1758,-0.9700,3.8818
2.1648,-0.9044,-0.9465
0.6598,-1.3796,5.1903
-1.9669,1.4270,-3.7744
2.2203,-0.2975,-1.9033
2.4465,-1.2942,-0.8174
2.2276,1.8784,-8.5898
0.3320,1.8827,-3.7831
0.7461,-1.6093,6.6113
1.9776,-1.0730,0.3244
0.8239,1.0608,1.1273
1.1992,1.8990,-5.2865
-1.0123,-1.9842,9.7873
0.7964,1.3040,0.1485
-0.1409,-1.3510,5.4457
2.0971,-1.3478,1.0504
-0.4679,-0.6378,3.0405
1.2957,-1.7023,6.2543
-0.0997,0.6426,2.7247
-0.2082,-0.0604,2.9569
-2.7832,0.5728,-4.9342
-1.6655,1.2152,-1.5683
-2.9178,0.7854,-5.9982
1.3650,-1.0600,2.3278
1.0271,-1.0198,3.0056
-0.7537,-0.1590,2.4359
-1.2514,-1.1450,2.9351
0.7013,1.9493,-4.8988
2.8971,-1.6089,-1.2287
0.1760,-1.3160,5.2480
-2.8757,-0.4848,-5.1559
0.7430,-1.1838,4.1067
2.2485,-0.1228,-2.0537
-1.6336,1.8186,-5.6837
-0.0079,1.9718,-4.6663
-1.4687,-1.4430,3.8477
1.0778,0.5430,1.6782
2.7588,-0.3925,-4.5504
2.7375,-0.6543,-4.2140
-0.1969,0.3495,2.9185
-2.9064,1.5191,-8.9529
-0.3240,-0.4760,3.0028
0.5544,-0.0089,2.6926
0.9433,-0.8623,2.7515
-2.5195,-0.1315,-3.3457
1.5095,-1.8700,7.2609
-1.2382,1.6016,-2.6413
1.8806,1.5560,-4.3039
2.2954,-1.5934,1.7765
-0.4412,-1.7012,7.7285
1.3882,-1.0161,2.1220
-2.8337,0.1217,-5.0319
-0.7497,-0.6117,2.6668
1.9044,-0.0840,-0.6261
-2.8449,0.5594,-5.2683
-2.6931,-0.7105,-3.8943
-2.1494,0.9187,-2.3953
-1.6758,0.0093,0.1916
-0.2109,-0.0953,2.9564
-2.0657,1.5025,-4.6588
1.7675,-1.0771,1.1254
-0.2999,-0.3050,2.9384
