x,y,z
3.8751,1.4796,-0.8007
0.6430,2.5837,-0.0850
2.2439,2.7416,-0.9629
2.7895,3.3931,-0.1004
0.7301,2.9210,-0.4878
3.2023,3.4767,0.3856
0.1119,2.2954,0.6701
3.7487,3.3962,0.7590
0.1986,1.2412,0.9914
3.8789,3.6485,0.9471
0.2687,0.1453,0.4022
1.9707,2.4208,-0.9490
1.4187,0.4345,0.9604
1.7620,3.9275,-0.5595
0.7526,1.9496,0.4254
0.3846,2.4753,0.2780
0.1547,2.6301,0.3493
0.1000,2.7819,0.2567
2.9954,3.1482,-0.1391
2.4846,3.2194,-0.5473
2.3692,3.7348,-0.1782
2.7116,3.8844,0.3078
2.6066,0.9388,-0.3930
3.9734,3.6757,0.9791
2.5588,0.0790,0.4827
0.3806,3.3095,-0.5214
2.6615,3.4399,-0.1808
0.6842,1.5033,0.8158
0.1993,1.9537,0.8352
2.7088,1.4274,-0.8386
2.7152,1.7780,-0.9761
0.1997,3.5259,-0.5513
1.6024,3.0353,-0.9972
2.1707,0.0535,0.7940
3.8751,1.7980,-0.5729
3.9457,3.5804,0.9467
2.3550,1.1897,-0.3923
1.9984,2.5259,-0.9824
0.8332,0.0099,0.7467
1.0187,2.2670,-0.1436
2.4564,2.4015,-0.9894
0.3724,3.1709,-0.3910
0.7522,0.1693,0.7965
1.7112,2.9959,-1.0000
2.7252,2.9488,-0.5722
1.7657,2.5543,-0.9240
3.8571,2.5650,0.1385
1.9074,1.0579,0.1754
1.0688,0.7916,0.9583
1.6197,1.0283,0.4738
3.0432,1.9513,-0.9605
1.8227,1.5839,-0.2619
3.1813,1.1428,-0.9256
0.2360,2.1140,0.7114
1.7774,2.0055,-0.5983
1.5896,2.6638,-0.8965
3.3752,1.8219,-0.8848
0.4428,2.5746,0.1238
2.3291,1.0515,-0.2367
1.4063,1.0783,0.6107
3.3274,2.1676,-0.7091
1.5970,1.7807,-0.2339
3.2698,3.2740,0.2577
0.3153,3.6993,-0.7662
3.2387,3.3651,0.3151
3.7124,1.9482,-0.5832
1.0624,2.1820,-0.1026
3.0116,2.1987,-0.8786
2.3918,0.6428,0.1068
0.3645,2.7175,0.0595
3.6934,0.0639,-0.5775
2.9614,1.3173,-0.9074
0.0003,3.3782,-0.2347
3.2298,0.4541,-0.5161
0.4623,1.3757,0.9645
1.2784,3.1465,-0.9589
3.9125,3.9736,0.9995
1.8860,2.9095,-0.9966
2.1776,0.8558,0.1080
3.1003,1.0728,-0.8581
1.0519,3.5353,-0.9922
3.0954,2.4434,-0.6775
0.9882,3.9538,-0.9738
1.9433,2.2268,-0.8566
1.5282,2.1859,-0.5418
2.4515,1.5270,-0.7426
2.3227,3.5406,-0.4076
1.7529,1.1134,0.2718
2.4567,0.3372,0.3407
1.6570,1.5851,-0.1003
0.5821,0.7105,0.9615
1.2969,1.2362,0.5716
3.8710,0.5643,-0.9619
1.6626,0.0151,0.9943
3.7877,3.2099,0.6552
0.6391,0.0671,0.6489
2.8282,0.3394,-0.0259
3.3237,2.3828,-0.5452
3.3124,2.7356,-0.2330
3.5032,0.8741,-0.9444
2.0874,3.6489,-0.5200
1.1228,3.4401,-0.9889
3.7746,0.2782,-0.7902
0.2186,1.4288,0.9971
2.0840,2.9987,-0.9322
2.9590,1.9303,-0.9844
1.7114,2.8236,-0.9843
2.3898,1.2993,-0.5206
1.0940,3.6003,-0.9998
0.2650,0.7425,0.8455
3.8615,0.2489,-0.8242
2.7908,2.7659,-0.6643
3.5669,2.3456,-0.3623
0.3104,1.7254,0.8938
0.7140,3.6812,-0.9501
2.3217,3.0391,-0.7970
3.2749,1.3602,-0.9970
3.9316,2.0267,-0.3192
2.0759,1.8710,-0.7210
0.5482,2.8413,-0.2453
0.0853,3.2176,-0.1606
3.2100,2.9434,-0.1294
2.0849,0.7755,0.2775
